measurement_id	target	query_argument	total_rows	valid_rows	invalid_rows	unique_valid_nsids	invalid_reasons
173811458	194.0.43.1	be.	80	78	2	3	rcode_REFUSED=1; rcode_SERVFAIL=1
173811459	120.29.253.8	be.	80	78	2	20	rcode_REFUSED=1; rcode_SERVFAIL=1
173811460	194.0.25.36	be.	80	78	2	22	rcode_REFUSED=1; rcode_SERVFAIL=1
173811461	194.0.28.53	nl.	80	78	2	7	rcode_REFUSED=1; rcode_SERVFAIL=1
173811462	194.0.25.24	nl.	80	78	2	22	rcode_REFUSED=1; rcode_SERVFAIL=1
173811463	185.159.199.200	nl.	80	78	2	11	rcode_REFUSED=1; rcode_SERVFAIL=1
173811464	194.0.0.53	de.	80	77	3	11	rcode_REFUSED=1; atlas_error:{'timeout': 5000}=1; rcode_SERVFAIL=1
173811465	77.67.63.105	de.	80	78	2	4	rcode_REFUSED=1; rcode_SERVFAIL=1
173811466	194.146.107.6	de.	80	78	2	28	rcode_REFUSED=1; rcode_SERVFAIL=1
173811467	194.246.96.1	de.	80	78	2	8	rcode_REFUSED=1; rcode_SERVFAIL=1
173811468	194.0.9.1	fr.	80	78	2	8	rcode_REFUSED=1; rcode_SERVFAIL=1
173811469	194.146.106.46	fr.	80	78	2	27	rcode_REFUSED=1; rcode_SERVFAIL=1
173811470	194.0.36.1	fr.	80	78	2	48	rcode_REFUSED=1; rcode_SERVFAIL=1
173811471	194.0.12.1	cz.	80	78	2	21	rcode_REFUSED=1; rcode_SERVFAIL=1
173811472	194.0.13.1	cz.	80	78	2	18	rcode_REFUSED=1; rcode_SERVFAIL=1
173811473	194.0.14.1	cz.	80	78	2	11	rcode_REFUSED=1; rcode_SERVFAIL=1
173811474	193.29.206.1	cz.	80	78	2	25	rcode_REFUSED=1; rcode_SERVFAIL=1
173811475	194.146.106.50	at.	80	78	2	28	rcode_REFUSED=1; rcode_SERVFAIL=1
173811476	194.0.25.10	at.	80	78	2	22	rcode_REFUSED=1; rcode_SERVFAIL=1
173811477	192.92.125.2	at.	80	77	3	8	rcode_REFUSED=1; atlas_error:{'timeout': 5000}=1; rcode_SERVFAIL=1
