country_code	country_name	map_country_code	count	share_classifiable
DE	Germany	DE	348	23.1
FR	France	FR	172	11.4
UK	United Kingdom	GB	157	10.4
AT	Austria	AT	135	9.0
NL	Netherlands	NL	115	7.6
SE	Sweden	SE	95	6.3
CZ	Czechia	CZ	43	2.9
BE	Belgium	BE	35	2.3
RO	Romania	RO	33	2.2
US	United States	US	30	2.0
IT	Italy	IT	29	1.9
ZA	South Africa	ZA	29	1.9
LV	Latvia	LV	27	1.8
SG	Singapore	SG	23	1.5
BG	Bulgaria	BG	21	1.4
CA	Canada	CA	21	1.4
SI	Slovenia	SI	21	1.4
PL	Poland	PL	19	1.3
ES	Spain	ES	17	1.1
FI	Finland	FI	15	1.0
SK	Slovakia	SK	15	1.0
CH	Switzerland	CH	14	0.9
HU	Hungary	HU	12	0.8
LT	Lithuania	LT	12	0.8
EE	Estonia	EE	9	0.6
IN	India	IN	9	0.6
AU	Australia	AU	6	0.4
ID	Indonesia	ID	6	0.4
LU	Luxembourg	LU	6	0.4
BH	Bahrain	BH	5	0.3
JP	Japan	JP	5	0.3
PT	Portugal	PT	4	0.3
CN	China	CN	3	0.2
GR	Greece	GR	3	0.2
MX	Mexico	MX	3	0.2
BR	Brazil	BR	2	0.1
CL	Chile	CL	2	0.1
AE	United Arab Emirates	AE	2	0.1
IE	Ireland	IE	1	0.1
RS	Serbia	RS	1	0.1
